[17:36:24] [info] VIOLET: Creating window Violet Engine (1200, 800)
[17:36:26] [info] VIOLET: OpenGL Info: 
[17:36:26] [info] VIOLET:  Vendor: NVIDIA Corporation 
[17:36:26] [info] VIOLET:  Renderer : NVIDIA GeForce GTX 1650/PCIe/SSE2 
[17:36:26] [info] VIOLET:  Version: 4.6.0 NVIDIA 512.59 
[17:36:32] [trace] APP: FPS: 56.4114 (0.0177269 / ms) 
[17:36:32] [trace] APP: FPS: 62.512 (0.0159969 / ms) 
[17:36:32] [trace] APP: FPS: 60.0198 (0.0166612 / ms) 
[17:36:32] [trace] APP: FPS: 62.3633 (0.0160351 / ms) 
[17:36:32] [trace] APP: FPS: 60.4262 (0.0165491 / ms) 
[17:36:32] [trace] APP: FPS: 59.9084 (0.0166922 / ms) 
[17:36:32] [trace] APP: FPS: 60.0955 (0.0166402 / ms) 
[17:36:32] [trace] APP: FPS: 61.2146 (0.016336 / ms) 
[17:36:32] [trace] APP: FPS: 53.4089 (0.0187235 / ms) 
[17:36:32] [trace] APP: FPS: 66.0333 (0.0151439 / ms) 
[17:36:32] [trace] APP: FPS: 56.9631 (0.0175552 / ms) 
[17:36:32] [trace] APP: FPS: 59.2751 (0.0168705 / ms) 
[17:36:32] [trace] APP: FPS: 65.8364 (0.0151892 / ms) 
[17:36:32] [trace] APP: FPS: 51.5182 (0.0194106 / ms) 
[17:36:32] [trace] APP: FPS: 64.1566 (0.0155869 / ms) 
[17:36:32] [trace] APP: FPS: 64.2864 (0.0155554 / ms) 
[17:36:32] [trace] APP: FPS: 56.2315 (0.0177836 / ms) 
[17:36:32] [trace] APP: FPS: 69.7215 (0.0143428 / ms) 
[17:36:32] [trace] APP: FPS: 57.9436 (0.0172582 / ms) 
[17:36:32] [trace] APP: FPS: 52.6605 (0.0189896 / ms) 
[17:36:32] [trace] APP: FPS: 61.7463 (0.0161953 / ms) 
[17:36:32] [trace] APP: FPS: 62.7909 (0.0159259 / ms) 
[17:36:32] [trace] APP: FPS: 57.4625 (0.0174026 / ms) 
[17:36:32] [trace] APP: FPS: 66.2691 (0.01509 / ms) 
[17:36:32] [trace] APP: FPS: 58.6714 (0.0170441 / ms) 
[17:36:32] [trace] APP: FPS: 62.1452 (0.0160913 / ms) 
[17:36:32] [trace] APP: FPS: 52.0514 (0.0192118 / ms) 
[17:36:32] [trace] APP: FPS: 72.914 (0.0137148 / ms) 
[17:36:32] [trace] APP: FPS: 55.6274 (0.0179768 / ms) 
[17:36:32] [trace] APP: FPS: 64.8671 (0.0154161 / ms) 
[17:36:32] [trace] APP: FPS: 58.8393 (0.0169954 / ms) 
[17:36:32] [trace] APP: FPS: 63.1672 (0.015831 / ms) 
[17:36:32] [trace] APP: FPS: 57.7919 (0.0173035 / ms) 
[17:36:32] [trace] APP: FPS: 59.2583 (0.0168753 / ms) 
[17:36:32] [trace] APP: FPS: 55.7872 (0.0179253 / ms) 
[17:36:32] [trace] APP: FPS: 60.6674 (0.0164833 / ms) 
[17:36:33] [trace] APP: FPS: 58.1251 (0.0172043 / ms) 
[17:36:33] [trace] APP: FPS: 61.7281 (0.0162001 / ms) 
[17:36:33] [trace] APP: FPS: 68.7185 (0.0145521 / ms) 
[17:36:33] [trace] APP: FPS: 54.6674 (0.0182924 / ms) 
[17:36:33] [trace] APP: FPS: 62.8266 (0.0159168 / ms) 
[17:36:33] [trace] APP: FPS: 62.2522 (0.0160637 / ms) 
[17:36:33] [trace] APP: FPS: 61.482 (0.0162649 / ms) 
[17:36:33] [trace] APP: FPS: 59.322 (0.0168571 / ms) 
[17:36:33] [trace] APP: FPS: 58.0478 (0.0172272 / ms) 
[17:36:33] [trace] APP: FPS: 60.0147 (0.0166626 / ms) 
[17:36:33] [trace] APP: FPS: 55.0376 (0.0181694 / ms) 
[17:36:33] [trace] APP: FPS: 61.8519 (0.0161676 / ms) 
[17:36:33] [trace] APP: FPS: 62.7064 (0.0159473 / ms) 
[17:36:33] [trace] APP: FPS: 65.8984 (0.0151749 / ms) 
[17:36:33] [trace] APP: FPS: 60.1386 (0.0166283 / ms) 
[17:36:33] [trace] APP: FPS: 58.7339 (0.0170259 / ms) 
[17:36:33] [trace] APP: FPS: 59.1313 (0.0169115 / ms) 
[17:36:33] [trace] APP: FPS: 63.9142 (0.015646 / ms) 
[17:36:33] [trace] APP: FPS: 62.7251 (0.0159426 / ms) 
[17:36:33] [trace] APP: FPS: 54.8964 (0.0182161 / ms) 
[17:36:33] [trace] APP: FPS: 63.2549 (0.0158091 / ms) 
[17:36:33] [trace] APP: FPS: 59.9221 (0.0166883 / ms) 
[17:36:33] [trace] APP: FPS: 60.5973 (0.0165024 / ms) 
[17:36:33] [trace] APP: FPS: 58.4784 (0.0171003 / ms) 
[17:36:33] [trace] APP: FPS: 63.7084 (0.0156965 / ms) 
[17:36:33] [trace] APP: FPS: 55.5979 (0.0179863 / ms) 
[17:36:33] [trace] APP: FPS: 61.6302 (0.0162258 / ms) 
[17:36:33] [trace] APP: FPS: 58.7109 (0.0170326 / ms) 
[17:36:33] [trace] APP: FPS: 64.2116 (0.0155735 / ms) 
[17:36:33] [trace] APP: FPS: 60.2422 (0.0165997 / ms) 
[17:36:33] [trace] APP: FPS: 60.7694 (0.0164557 / ms) 
[17:36:33] [trace] APP: FPS: 59.9906 (0.0166693 / ms) 
[17:36:33] [trace] APP: FPS: 55.8496 (0.0179052 / ms) 
